ID;Acari;Agapetus;Allogamus;Ancylus_fluviatilis;Anthomyiidae;Apatania;Asellus;Atherix;Atrichops_crassipes;Baetis;Blepharicera;Boyeria_irene;Bythinella;Caenis;Calopteryx;Cecidomyiidae;Ceraclea_Homilia;Ceratopogoninae;Chalcolestes_viridis;Chimarra;Chironomini;Clinocerinae;Copelatus;Corixinae;Cyphon;Dashyheleinae;Dupophilos;Echinogammarus;Elmis;Ephemera;Ephemerella;Esolus;Eubria;Gyraulus;Habroleptoides;Habrophlebia;Hemerodromiinae;Heptagenidae;Hexatomiini;Holocentropus;Hydraena;Hydrocyphon;Hydrometra;Hydropsyche;Hydroptilidae;Hyporhyacophila;Isogenus_nubecula;Lepidostoma_hirtum;Leptophlebiidae;Leuctra;Limnius;Limoniini;Liponeura;Lymnaea;Macroplea;Marthamea;Mesovelia;Metalype_fragilis;Micrasema;Mystacides;Neureclepsis;Normandia;Oecetis;Ophiogomphus;Orectochilus;Orthocladiinae;Oulimnius;Pacifastacus_lenisculus;Pararhyacophila;Pediciini;Perla;Philopotamus;Physa;Pisidium;Plectrocnemia;Polycentropus;Potamopyrgus_antipodarum;Procloeon;Prodiamesinae;Prosimullini;Psychodidae;Psychomya_pusilla;Radix;Rhagionidae;Rhyacophila;Sericostoma;Silo_Lithax;Simullini;Siphonoperla;Sphaerium;Stenelmis;Tabanidae;Tanypodinae;Tanytarsini;Tipulidae;Boreobdella;Dugesia;Glossiphonia;Haementeria;Haemopis;Oligochaeta;Polycelis
Deba_Control-Down_1;31;0;0;9;0;0;0;0;0;384;0;1;0;538;0;0;6;0;0;0;20;0;0;0;0;0;0;2;0;0;18;0;0;0;0;0;0;5;0;0;0;0;0;44;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;148;0;0;247;0;0;0;1;0;4;0;0;0;0;0;0;37;0;0;17;8;0;3;0;16;8;0;127;0
Deba_Control-Down_2;32;0;0;7;0;0;0;0;0;336;0;0;0;519;0;0;11;1;0;0;24;3;0;0;0;0;0;2;0;0;11;5;0;0;0;0;0;1;0;0;0;0;0;46;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;64;0;0;230;0;0;0;0;0;7;0;2;0;0;2;0;3;0;0;6;14;0;8;0;34;4;0;39;0
Deba_Control-Down_3;40;0;0;6;0;0;2;0;0;283;0;0;0;544;0;0;7;6;0;0;28;1;0;0;0;0;0;6;0;0;10;1;0;0;0;0;0;1;0;0;0;0;0;294;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108;0;0;0;0;0;0;0;67;0;0;147;0;0;0;0;1;0;0;0;0;0;7;0;2;0;0;23;2;0;1;0;2;0;0;18;0
Deba_Control-Mid_1;3;0;0;5;0;0;0;0;0;397;0;0;0;255;0;0;8;2;0;0;4;1;0;0;0;0;0;3;1;0;12;2;1;0;0;0;0;1;0;0;0;0;0;153;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;0;0;0;0;0;0;0;22;0;0;48;0;0;0;2;0;6;0;0;0;0;2;0;0;0;0;11;0;0;1;0;2;0;0;46;0
Deba_Control-Mid_2;24;0;0;36;0;0;0;0;0;283;0;0;0;362;0;0;15;1;0;0;4;1;0;0;0;0;0;3;0;0;12;1;0;0;0;0;0;0;0;0;0;0;0;142;2;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;0;0;0;0;0;0;0;77;0;0;43;0;0;0;0;1;12;0;0;0;0;2;0;0;0;0;8;6;0;1;2;0;0;0;23;3
Deba_Control-Mid_3;54;0;0;65;0;0;2;0;0;354;0;0;0;310;0;0;34;3;0;0;20;2;0;0;0;0;0;8;3;0;26;0;0;0;0;0;1;2;0;0;2;0;0;185;0;0;0;0;0;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;1;0;0;0;56;0;0;66;0;0;0;0;0;8;0;0;0;0;4;0;6;0;0;2;9;0;2;0;2;0;0;56;0
Deba_Control-Up_1;32;0;0;6;0;0;0;0;0;495;0;0;1;545;0;0;8;3;0;0;12;0;0;0;0;0;0;10;2;1;28;0;0;0;0;0;0;1;0;0;0;0;0;228;4;0;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155;0;0;0;0;0;0;0;10;0;0;198;0;0;0;0;0;1;0;0;0;0;20;0;0;0;0;32;26;0;0;0;4;0;0;42;0
Deba_Control-Up_2;18;0;0;22;0;0;0;0;0;329;0;0;0;319;0;0;6;1;0;0;13;0;0;0;0;0;0;3;1;0;24;1;0;0;0;0;0;6;0;0;1;0;0;194;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;22;0;0;85;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;7;21;1;1;0;0;0;0;39;0
Deba_Control-Up_3;19;0;0;49;0;0;0;0;0;368;0;2;0;535;0;0;12;5;0;0;3;3;0;0;0;0;0;6;1;0;37;3;0;0;0;0;0;0;0;0;1;0;0;322;1;0;0;0;0;4;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124;0;0;0;0;0;0;0;184;0;0;82;0;0;0;1;0;4;0;0;0;0;6;0;16;0;0;5;12;0;0;0;0;0;0;57;0
Deba_Impact-Down_1;6;0;0;4;0;0;0;1;0;57;0;0;1;23;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;5;1;0;0;0;0;0;0;0;0;1;0;0;11;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;1;0;0;7;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;8;0
