River;Date;Reach;Subreach;n_sample;Taxa;BM_mg;ln.BM_mg.;Org_type
Deba;AprMay18;Control;Down;1;Acari;0.155668451;-1.860026847;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.121709394;-2.106119095;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.125946122;-2.071901069;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.134581962;-2.005581884;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.183089558;-1.69777986;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.20152873;-1.601823328;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.133351699;-2.01476529;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.13315502;-2.016241267;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.134484542;-2.006306019;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.191562347;-1.65254195;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.144486221;-1.934571134;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.124045825;-2.087104228;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.111895208;-2.190192484;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.136700668;-1.989961651;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.245540736;-1.404292416;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.123529236;-2.091277419;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.223653589;-1.497656903;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.157493923;-1.848368404;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.263999057;-1.331809748;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.207071312;-1.574692042;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.172306014;-1.758483231;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.235760566;-1.444938538;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.190856199;-1.65623502;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.142711243;-1.94693197;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.130898456;-2.033333405;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.118651278;-2.131566524;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.106685273;-2.237872156;Invertebrate
Deba;AprMay18;Control;Down;1;Acari;0.102875994;-2.274230958;Invertebrate
Deba;AprMay18;Control;Down;2;Acari;0.130990271;-2.032632228;Invertebrate
Deba;AprMay18;Control;Down;2;Acari;0.118474188;-2.133060161;Invertebrate
Deba;AprMay18;Control;Down;2;Acari;0.118043146;-2.136705078;Invertebrate
Deba;AprMay18;Control;Down;2;Acari;0.118963352;-2.128939801;Invertebrate
Deba;AprMay18;Control;Down;2;Acari;0.104663702;-2.257002904;Invertebrate
Deba;AprMay18;Control;Down;2;Acari;0.108049159;-2.225168975;Invertebrate
Deba;AprMay18;Control;Down;2;Acari;0.106769547;-2.237082538;Invertebrate
Deba;AprMay18;Control;Down;3;Acari;0.162866682;-1.814823316;Invertebrate
Deba;AprMay18;Control;Down;3;Acari;0.158145867;-1.84423746;Invertebrate
Deba;AprMay18;Control;Down;3;Acari;0.102468789;-2.278197021;Invertebrate
Deba;AprMay18;Control;Down;3;Acari;0.125835378;-2.072780752;Invertebrate
Deba;AprMay18;Control;Down;3;Acari;0.096756117;-2.335561721;Invertebrate
Deba;AprMay18;Control;Down;3;Acari;0.109230133;-2.214298309;Invertebrate
Deba;AprMay18;Control;Down;3;Acari;0.11651655;-2.149721958;Invertebrate
Deba;AprMay18;Control;Down;3;Acari;0.104190172;-2.261537472;Invertebrate
Deba;AprMay18;Control;Down;3;Acari;0.109314336;-2.213527727;Invertebrate
Deba;AprMay18;Control;Down;3;Acari;0.097618271;-2.326690604;Invertebrate
Deba;AprMay18;Control;Down;3;Acari;0.130774153;-2.03428347;Invertebrate
Deba;AprMay18;Control;Down;3;Acari;0.117390268;-2.142251273;Invertebrate
Deba;AprMay18;Control;Down;3;Acari;0.116570438;-2.149259574;Invertebrate
Deba;AprMay18;Control;Down;3;Acari;0.120450181;-2.116519048;Invertebrate
Deba;AprMay18;Control;Down;3;Acari;0.115613766;-2.157500244;Invertebrate
Deba;AprMay18;Control;Mid;2;Acari;0.123698874;-2.089905105;Invertebrate
Deba;AprMay18;Control;Mid;2;Acari;0.124199029;-2.085869927;Invertebrate
Deba;AprMay18;Control;Mid;2;Acari;0.123357979;-2.09266475;Invertebrate
Deba;AprMay18;Control;Mid;2;Acari;0.105595463;-2.248139869;Invertebrate
Deba;AprMay18;Control;Mid;2;Acari;0.104594552;-2.257663812;Invertebrate
Deba;AprMay18;Control;Mid;2;Acari;0.100965542;-2.292975984;Invertebrate
Deba;AprMay18;Control;Mid;2;Acari;0.124052096;-2.087053675;Invertebrate
Deba;AprMay18;Control;Mid;2;Acari;0.095608275;-2.347495905;Invertebrate
Deba;AprMay18;Control;Mid;2;Acari;0.114246591;-2.169396086;Invertebrate
Deba;AprMay18;Control;Mid;2;Acari;0.118683422;-2.131295651;Invertebrate
Deba;AprMay18;Control;Mid;2;Acari;0.110250287;-2.205002164;Invertebrate
Deba;AprMay18;Control;Mid;3;Acari;0.09295436;-2.37564666;Invertebrate
