label;River;Reach;Sample;Taxa;meanBM_g;Biomass_g;MR;Temperature_C;X0;exponent;org.types;Sample_type
Deba_Control_1_Acari;Deba;Control;1;Acari;0.000149992;0.004799733;1.09E-05;10.2;17.17;0.71;animal;Invertebrate
Deba_Control_1_Ancylus fluviatilis;Deba;Control;1;Ancylus_fluviatilis;0.014339076;0.086034456;4.35E-05;10.2;17.17;0.71;animal;Invertebrate
Deba_Control_1_Baetis;Deba;Control;1;Baetis;0.000159143;0.078775638;0.000151413;10.2;17.17;0.71;animal;Invertebrate
Deba_Control_1_Bythinella;Deba;Control;1;Bythinella;7.32E-05;7.32E-05;2.07E-07;10.2;17.17;0.71;animal;Invertebrate
Deba_Control_1_Caenis;Deba;Control;1;Caenis;0.000400648;0.21835293;0.000354685;10.2;17.17;0.71;animal;Invertebrate
Deba_Control_1_Ceraclea+homilla;Deba;Control;1;Ceraclea_Homilia;1.76E-05;0.000141111;5.98E-07;10.2;17.17;0.71;animal;Invertebrate
Deba_Control_1_Ceratopogoninae;Deba;Control;1;Ceratopogoninae;0.000162062;0.000486187;1.09E-06;10.2;17.17;0.71;animal;Invertebrate
Deba_Control_1_Chironomini;Deba;Control;1;Chironomini;0.00194765;0.023371804;2.16E-05;10.2;17.17;0.71;animal;Invertebrate
Deba_Control_1_Echinogammarus;Deba;Control;1;Echinogammarus;0.004332054;0.043320542;3.09E-05;10.2;17.17;0.71;animal;Invertebrate
Deba_Control_1_Elmis;Deba;Control;1;Elmis;0.000145633;0.000291267;6.72E-07;10.2;17.17;0.71;animal;Invertebrate
Deba_Control_1_Ephemera;Deba;Control;1;Ephemera;0.001341461;0.001341461;1.63E-06;10.2;17.17;0.71;animal;Invertebrate
Deba_Control_1_Ephemerella;Deba;Control;1;Ephemerella;0.001367704;0.038295722;4.21E-05;10.2;17.17;0.71;animal;Invertebrate
Deba_Control_1_Heptagenidae;Deba;Control;1;Heptagenidae;0.001103778;0.001103778;1.42E-06;10.2;17.17;0.71;animal;Invertebrate
Deba_Control_1_Hydropsyche;Deba;Control;1;Hydropsyche;0.00037334;0.085121541;0.000137104;10.2;17.17;0.71;animal;Invertebrate
